landscape;design;visit;observer;npoint;countWc;countYh;countYW;countLi;countBS;countTS;countRo;countSt;countSk;countCu;countWe;countRbS;countLa;countGW;countMP;Farml.area;LHI;Prop.ext.;Ext.qual.;Cropdiv.;Prop.spr-sown
Lsc_1;Flower;1;MS;16;1;1;5;8;7;25;2;0;40;0;0;0;8;7;2;278,4826764;-1,09159141;0,062941521;0,888556068;4,467176314;0,26005931
Lsc_1;Flower;2;YH;16;0;0;0;2;0;16;6;0;27;0;0;0;4;5;0;278,4826764;-1,09159141;0,062941521;0,888556068;4,467176314;0,26005931
Lsc_2;Ley;1;YH;16;0;0;4;2;13;20;1;8;32;0;0;0;0;5;1;281,571076;-0,80625838;0,241460137;0,361853811;4,799280865;0,625830176
Lsc_2;Ley;2;PO;16;1;0;2;3;8;15;0;8;11;1;1;0;5;6;3;281,571076;-0,80625838;0,241460137;0,361853811;4,799280865;0,625830176
Lsc_3;Ley;1;YH;16;0;4;0;0;12;18;24;8;12;0;0;2;0;10;0;248,4925914;1,765777422;0,376678116;0,266289644;4,987755278;0,395090975
Lsc_3;Ley;2;JD;16;0;6;0;3;23;17;11;5;16;0;0;0;0;13;0;248,4925914;1,765777422;0,376678116;0,266289644;4,987755278;0,395090975
Lsc_4;Ley;1;JD;14;0;4;0;1;11;3;0;12;14;0;0;0;0;10;0;166,282606;1,146142909;0,499374119;0,265870401;3,272300601;0,570381531
Lsc_4;Ley;2;PO;14;1;1;0;0;12;7;0;26;10;0;0;0;0;6;0;166,282606;1,146142909;0,499374119;0,265870401;3,272300601;0,570381531
Lsc_5;Ley;1;MO;16;1;5;0;2;10;2;20;10;13;0;0;1;7;16;1;252,2779284;0,718513069;0,517608919;0,352372252;4,059384763;0,524897568
Lsc_5;Ley;2;MS;16;1;8;1;4;22;20;21;38;32;0;0;0;1;14;0;252,2779284;0,718513069;0,517608919;0,352372252;4,059384763;0,524897568
Lsc_6;Ley;1;YH;13;0;3;2;1;2;3;0;5;5;0;0;0;1;9;0;171,4564181;1,317822116;0,118895749;0,998761188;4,595032006;0,233368322
Lsc_6;Ley;2;MO;13;0;7;3;4;8;1;0;2;2;0;0;0;0;8;0;171,4564181;1,317822116;0,118895749;0,998761188;4,595032006;0,233368322
Lsc_7;Ley;1;MO;16;0;0;7;4;4;4;8;0;16;1;0;0;1;7;0;287,5416452;-1,143682758;0,0622041;0,435395101;5,217727465;0,307803031
Lsc_7;Ley;2;YH;16;0;0;5;2;8;22;20;1;27;0;0;0;0;14;0;287,5416452;-1,143682758;0,0622041;0,435395101;5,217727465;0,307803031
Lsc_8;Flower;1;YH;16;0;4;0;3;7;24;11;11;42;0;0;0;1;5;0;289,6408743;1,264104612;0,340229909;0,242043481;4,697552553;0,506636276
Lsc_8;Flower;2;JD;16;0;10;1;7;10;16;17;24;40;1;6;0;5;9;0;289,6408743;1,264104612;0,340229909;0,242043481;4,697552553;0,506636276
Lsc_9;Ley;1;YH;16;0;0;0;0;3;6;7;3;48;0;0;0;0;6;0;290,8103876;-1,230971996;0,032025126;0,868956247;4,258683649;0,415817861
Lsc_9;Ley;2;JD;16;0;0;1;1;3;21;10;6;56;0;1;0;4;8;1;290,8103876;-1,230971996;0,032025126;0,868956247;4,258683649;0,415817861
Lsc_10;Ley;1;YH;11;0;0;2;0;3;1;21;10;11;0;0;0;0;4;0;137,7008097;0,039937746;0,555221483;0,238449644;3,416658028;0,929267779
Lsc_10;Ley;2;MS;11;0;1;5;1;1;3;31;6;6;0;0;0;6;5;0;137,7008097;0,039937746;0,555221483;0,238449644;3,416658028;0,929267779
Lsc_11;Ley;1;JD;16;2;2;0;0;3;5;1;4;5;0;0;0;2;9;0;197,7780319;1,8429549;0,664272327;0,467892068;2,990523743;0,623474012
Lsc_11;Ley;2;MO;16;4;3;1;4;5;6;6;3;3;0;0;0;2;9;0;197,7780319;1,8429549;0,664272327;0,467892068;2,990523743;0,623474012
Lsc_12;Flower;1;YH;16;0;5;0;6;7;7;0;13;28;0;0;0;2;12;0;292,1280415;-1,41280407;0,056566812;0,497698993;5,173931788;0,285889475
Lsc_12;Flower;2;MS;16;0;10;2;12;4;7;24;1;49;0;0;0;0;10;1;292,1280415;-1,41280407;0,056566812;0,497698993;5,173931788;0,285889475
Lsc_13;Ley;1;MO;16;0;1;3;8;8;2;0;1;13;0;0;0;2;6;6;230,8709757;1,606062965;0,082943802;0,60896013;5,897584176;0,899602767
Lsc_13;Ley;2;JD;16;0;0;2;7;2;2;9;10;43;0;0;0;2;11;5;230,8709757;1,606062965;0,082943802;0,60896013;5,897584176;0,899602767
Lsc_14;Ley;1;MO;16;0;1;3;3;8;0;0;3;9;0;1;0;1;10;0;283,9604633;-1,162506594;0,203138258;0,286710497;3,741237443;0,274405275
Lsc_14;Ley;2;PO;16;0;2;2;0;0;14;1;9;30;0;0;0;0;10;0;283,9604633;-1,162506594;0,203138258;0,286710497;3,741237443;0,274405275
Lsc_15;Flower;1;YH;16;0;3;0;0;2;13;6;8;17;0;0;0;0;9;0;254,9337354;-0,8742288;0,19040167;0,402359304;5,567940851;0,276751993
Lsc_15;Flower;2;JD;16;0;9;0;3;1;19;15;10;15;0;0;0;0;12;0;254,9337354;-0,8742288;0,19040167;0,402359304;5,567940851;0,276751993
Lsc_16;Flower;1;MS;16;1;5;5;2;2;2;19;1;10;0;0;1;2;7;0;242,7314917;0,733996002;0,430276791;0,109963071;4,37060749;0,434148764
Lsc_16;Flower;2;YH;16;0;2;3;7;6;14;15;19;5;0;0;0;1;7;0;242,7314917;0,733996002;0,430276791;0,109963071;4,37060749;0,434148764
Lsc_17;Ley;1;MO;16;2;3;0;2;5;7;5;8;13;0;0;0;19;2;0;268,2696188;0,698264151;0,235239105;0,228939721;5,90462044;0,374089889
Lsc_17;Ley;2;YH;16;0;2;1;1;3;17;16;3;35;0;0;0;9;8;0;268,2696188;0,698264151;0,235239105;0,228939721;5,90462044;0,374089889
Lsc_18;Ley;1;JD;12;0;5;0;6;8;1;0;1;15;0;1;0;0;2;0;142,4876773;0,037499081;0,40596042;0,175527825;3,762388398;0,32821518
Lsc_18;Ley;2;MS;12;2;8;0;6;4;0;0;4;11;0;1;0;0;3;0;142,4876773;0,037499081;0,40596042;0,175527825;3,762388398;0,32821518
Lsc_19;Ley;1;JD;16;1;3;1;7;10;11;5;6;40;0;2;0;0;17;0;284,7593386;0,103226724;0,185644883;0,05492339;5,05007663;0,421749875
Lsc_19;Ley;2;PO;16;3;1;2;1;5;20;10;9;28;1;9;0;2;13;0;284,7593386;0,103226724;0,185644883;0,05492339;5,05007663;0,421749875
Lsc_20;Ley;1;MO;15;1;3;6;4;3;5;18;9;5;0;0;0;7;8;0;230,5309121;-0,351225129;0,493389462;0,142324627;4,069313581;0,485980101
Lsc_20;Ley;2;PO;16;1;4;4;2;1;15;8;7;6;0;0;0;8;8;0;230,5309121;-0,351225129;0,493389462;0,142324627;4,069313581;0,485980101
Lsc_21;Flower;1;JD;16;0;0;0;4;7;25;1;0;29;0;0;0;3;8;0;293,8640129;-1,108326095;0,012725727;0,52358748;4,18136374;0,405127127
Lsc_21;Flower;2;MO;16;0;1;0;2;3;9;1;3;11;0;0;0;3;6;0;293,8640129;-1,108326095;0,012725727;0,52358748;4,18136374;0,405127127
Lsc_22;Ley;1;YH;16;2;6;0;0;15;5;2;7;34;0;4;0;2;10;0;260,5838025;1,744234087;0,541142181;0,105074605;2,937694377;0,526444806
Lsc_22;Ley;2;PO;16;6;5;0;1;8;12;0;44;20;0;2;0;13;8;0;260,5838025;1,744234087;0,541142181;0,105074605;2,937694377;0,526444806
Lsc_23;Ley;1;JD;16;0;4;0;7;8;33;5;2;22;0;0;0;4;14;0;277,2780439;-0,260399404;0,038009435;0,846393098;4,41806018;0,377405674
Lsc_23;Ley;2;YH;16;1;5;0;5;2;32;0;1;22;0;0;0;1;8;0;277,2780439;-0,260399404;0,038009435;0,846393098;4,41806018;0,377405674
Lsc_24;Ley;1;MO;16;2;3;0;4;1;9;0;11;8;0;0;0;1;16;0;251,64976;0,843724336;0,314538334;0,347510534;3,439385932;0,163576817
Lsc_24;Ley;2;PO;16;0;5;0;5;0;14;5;2;10;0;0;0;0;19;0;251,64976;0,843724336;0,314538334;0,347510534;3,439385932;0,163576817
Lsc_25;Flower;1;MO;16;0;4;5;6;2;0;3;6;8;0;0;2;0;9;0;260,2201604;0,772650284;0,121664262;0,51659704;5,379260516;0,414379549
Lsc_25;Flower;2;JD;16;0;5;2;7;2;29;47;6;18;4;0;0;0;24;0;260,2201604;0,772650284;0,121664262;0,51659704;5,379260516;0,414379549
Lsc_26;Ley;1;MO;16;2;1;0;1;8;7;9;4;8;0;2;0;5;8;3;253,3383478;-0,206933667;0,224695181;0,646154647;6,306919928;0,567399664
Lsc_26;Ley;2;PO;16;5;1;0;1;7;23;21;10;4;0;0;0;15;4;3;253,3383478;-0,206933667;0,224695181;0,646154647;6,306919928;0,567399664
Lsc_27;Ley;1;JD;16;0;1;0;1;5;8;0;1;29;0;0;0;2;10;0;276,0701084;-1,09544526;0,030685581;0,579141264;5,290482853;0,303863674
Lsc_27;Ley;2;PO;16;0;2;0;3;3;23;0;4;10;0;0;0;0;6;0;276,0701084;-1,09544526;0,030685581;0,579141264;5,290482853;0,303863674
Lsc_28;Ley;1;MO;16;0;7;0;2;20;2;0;4;11;0;0;1;7;13;1;242,3007514;1,70448323;0,550853596;0,191156207;3,185508031;0,680602214
Lsc_28;Ley;2;YH;16;0;5;0;1;15;1;1;9;8;0;0;0;6;11;0;242,3007514;1,70448323;0,550853596;0,191156207;3,185508031;0,680602214
Lsc_29;Flower;1;MS;16;0;1;15;14;26;42;11;6;54;0;0;0;0;5;0;284,7663379;-1,76196166;0,194549395;0,250908345;6,398291103;0,505946328
Lsc_29;Flower;2;YH;16;0;2;3;6;13;40;19;14;39;0;0;0;0;3;0;284,7663379;-1,76196166;0,194549395;0,250908345;6,398291103;0,505946328
Lsc_30;Ley;1;YH;16;1;1;0;4;13;11;29;6;18;1;0;0;1;6;0;268,3924093;-0,499609783;0,239239622;0,04953918;4,106479849;0,813818507
Lsc_30;Ley;2;MS;16;0;7;3;5;4;14;42;1;30;1;0;0;5;14;0;268,3924093;-0,499609783;0,239239622;0,04953918;4,106479849;0,813818507
Lsc_31;Flower;1;JD;16;0;1;0;0;1;6;46;2;32;0;0;0;1;7;0;232,874844;-0,308966605;0,073717214;1;3,787959811;0,543018869
Lsc_31;Flower;2;YH;16;0;0;0;0;0;8;16;0;29;0;0;0;2;4;0;232,874844;-0,308966605;0,073717214;1;3,787959811;0,543018869
Lsc_32;Ley;1;MO;13;2;6;1;2;0;8;2;2;7;0;0;0;0;11;0;201,4463891;0,700457031;0,490181448;0,151291932;3,464949193;0,483697404
Lsc_32;Ley;2;MS;14;1;7;0;15;10;16;2;4;11;2;0;0;0;18;0;201,4463891;0,700457031;0,490181448;0,151291932;3,464949193;0,483697404
Lsc_33;Ley;1;YH;13;0;0;0;0;0;7;30;4;7;0;0;0;0;2;0;160,7985149;0,363499462;0,00268264;0,060390151;4,691528726;0,737682572
Lsc_33;Ley;2;PO;13;0;0;0;0;3;21;35;17;9;0;0;0;1;5;0;160,7985149;0,363499462;0,00268264;0,060390151;4,691528726;0,737682572
